,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage,pre_score,post_socre,pre_label,post_label
12,u17,0.8149249940000001,0.988237677,0.663548784,0.890313957,0.5660209310000001,0.585050194,0.580703911,0.088235294,0.558391726,0.819537253,0.6728197359999999,0.028571429,0.213891164,0.434959802,0.29919952,0.11627907,0.495454589,0.186269155,0.41447886700000003,0.434782609,0.33865905,0.427212376,0.36470877399999996,0.090909091,0.037761237999999996,0.905658915,0.08480874199999999,37,38.0,1,1
38,u18,0.848727702,0.9871812059999999,0.6954225940000001,0.707417325,0.7697617459999999,0.5550996770000001,0.6155815020000001,0.705882353,0.637032481,0.507124983,0.525475354,0.6571428570000001,0.697659668,0.5083304710000001,0.6487770860000001,0.46511627899999997,0.554017286,0.30461274899999996,0.21095824300000002,0.7173913040000001,0.618869806,0.23875889399999997,0.5462007320000001,0.409090909,0.087334236,0.936907704,0.057637889000000005,37,41.5,1,1
13,u19,0.8131676240000001,0.9925973570000001,0.629358467,0.6791756959999999,0.357158762,0.49145083700000003,0.384178151,0.0,0.44468196,0.419906548,0.518681856,0.2,0.340232397,0.5874459439999999,0.421314966,0.11627907,0.657856619,0.8788431720000001,0.724789537,0.19565217399999998,0.307033235,0.7059129890000001,0.37026385799999995,0.022727273,0.050184491,0.881959405,0.10752816300000001,42,42.0,1,1
14,u20,0.9278858940000001,0.99157651,0.782954492,0.8201662670000001,0.900467602,0.841788722,0.900609503,0.441176471,0.8330238609999999,0.794252858,0.820630877,0.485714286,0.7726892470000001,0.053593545,0.559363355,0.813953488,0.930414732,0.751301507,0.774746258,0.913043478,0.8217800759999999,0.582749186,0.7486405159999999,0.659090909,0.307837611,0.962939342,0.039685441,45,45.0,1,1
39,u22,0.6903110920000001,0.9787312979999999,0.680565984,0.516138077,0.839679359,0.863708446,0.85025249,0.294117647,0.717631992,0.538454647,0.651098689,0.6,0.40554827200000004,0.0,0.45110827299999995,0.186046512,0.8059923790000001,0.756848805,0.7887785079999999,0.47826087,0.431320555,0.20199404,0.424665972,0.181818182,0.014467434,0.9492909829999999,0.042957330999999994,46,46.6,1,1
15,u23,0.922062756,0.994584217,0.688370629,0.9247434240000001,0.8523714090000001,0.84510935,0.8721913,0.264705882,0.734217975,0.8852439190000001,0.7731743190000001,0.257142857,0.325347025,0.59079034,0.313420711,0.27906976699999997,0.0,0.49913081200000003,0.0,0.260869565,0.474014359,1.0,0.45279693200000004,0.22727272699999998,0.252964355,0.9800360770000001,0.018953281000000002,35,42.0,0,1
16,u24,0.6384124210000001,0.945765183,0.347478658,0.453929951,0.882654197,0.8596008079999999,0.683494006,1.0,0.62990469,0.397857763,0.269013699,1.0,0.871025405,0.712217097,0.705445828,0.88372093,0.9025238329999999,0.537822874,0.634460031,0.97826087,0.72176548,0.472026354,0.323072921,0.8409090909999999,1.0,0.93594152,0.141044264,41,43.0,1,1
17,u27,0.86388375,0.990382257,0.6227139970000001,0.774497853,0.62257849,0.321654793,0.653113335,0.058823529000000006,0.46296114,0.526827505,0.57493612,0.085714286,0.482621955,0.7454514040000001,0.549440186,0.139534884,0.6443193620000001,0.657137895,0.49822011,0.586956522,0.748319489,0.83478824,0.845037565,0.204545455,0.040112632,0.929824605,0.062312112999999995,31,31.0,0,0
18,u31,0.670366928,0.970316873,0.505203528,0.773158233,0.7014028059999999,0.7559729000000001,0.665413802,0.323529412,0.36695852700000003,0.42572699399999997,0.470122826,0.14285714300000002,0.550578763,0.7630295509999999,0.632743841,0.093023256,0.423638595,0.69796516,0.476845722,0.21739130399999998,0.696696578,0.885926287,0.8092752590000001,0.113636364,0.145218973,0.874514063,0.121658001,16,36.0,0,1
19,u32,0.461279657,0.930482274,0.28845648399999996,0.136014375,0.46136717899999996,0.15998538,0.38519923,0.264705882,0.070896562,0.38199302799999996,0.101965199,0.314285714,0.445711565,0.266867612,0.45721014,0.255813953,0.638167801,0.523329295,0.629370372,0.36956521700000006,0.32008740199999997,0.233386339,0.274319679,0.181818182,0.17496818600000003,0.647549206,0.332416848,54,56.0,1,1
20,u33,0.706713977,0.9806138059999999,0.44542156200000005,0.5252308529999999,0.919617012,0.909332105,0.8909388309999999,0.6176470589999999,0.5346841929999999,0.503226878,0.502135415,0.457142857,0.46190121100000003,0.42003291,0.436898764,0.325581395,0.688748213,0.438321184,0.608645091,0.52173913,0.654723666,0.712718625,0.659165615,0.318181818,0.32169616100000004,0.8807613609999999,0.13079459699999998,31,28.0,0,0
21,u34,0.6295933420000001,0.915412544,0.6198752829999999,0.683523102,0.894455578,0.905018784,0.835035485,0.6764705879999999,0.6867183179999999,0.329150596,0.574946017,0.685714286,0.9585021509999999,1.0,0.8712739909999999,0.9302325579999999,0.9922238590000001,0.8804150909999999,0.895830476,0.97826087,1.0,0.590677854,1.0,1.0,0.607242164,0.427082571,0.6593089129999999,49,23.0,1,0
22,u35,0.76609342,0.963961104,0.7411144040000001,0.8349282440000001,0.8476953909999999,0.9255897679999999,0.911824326,0.0,0.635767784,0.693879391,0.744029907,0.0,1.0,0.884187389,1.0,0.76744186,0.92570345,0.8341150190000001,0.855928853,0.760869565,0.844850014,0.39869399,0.888862035,0.477272727,0.051714365,0.8921310990000001,0.098217636,48,44.0,1,1
